F2 CAPITAL MARKET YIELDS – GOVERNMENT BONDS,,,,,,,,,,,,,,,,,,,,,,,,
Title,Australian Government 2 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond,NSW Treasury Corporation 3 year bond,NSW Treasury Corporation 5 year bond,NSW Treasury Corporation 10 year bond,,,,,,,,,,,,,,,,
Description,"Yields on Australian government bonds, 2 years maturity","Yields on Australian government bonds, 3 years maturity","Yields on Australian government bonds, 5 years maturity","Yields on Australian government bonds, 10 years maturity","Yields on Australian government bonds, Indexed maturity","Yields on New South Wales Treasury Corporation bonds, 3 years maturity","Yields on New South Wales Treasury Corporation bonds, 5 years maturity","Yields on New South Wales Treasury Corporation bonds, 10 years maturity",,,,,,,,,,,,,,,,
Frequency,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,,,,,,,,,,,,,,,,
Type,Original,Original,Original,Original,Original,Original,Original,Original,,,,,,,,,,,,,,,,
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Source,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,,,,,,,,,,,,,,,,
Publish date,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,,,,,,,,,,,,,,,,
Series ID,FCMYGBAG2D,FCMYGBAG3D,FCMYGBAG5D,FCMYGBAG10D,FCMYGBAGID,FCMYGBNT3D,FCMYGBNT5D,FCMYGBNT10D,,,,,,,,,,,,,,,,
11-Dec-2013,2.72,2.98,3.47,4.24,2.22,3.21,3.80,4.77,,,,,,,,,,,,,,,,
12-Dec-2013,2.69,2.95,3.45,4.22,2.18,3.18,3.78,4.75,,,,,,,,,,,,,,,,
13-Dec-2013,2.68,2.93,3.43,4.21,2.17,3.15,3.74,4.72,,,,,,,,,,,,,,,,
16-Dec-2013,2.63,2.87,3.37,4.22,2.07,3.10,3.69,4.63,,,,,,,,,,,,,,,,
17-Dec-2013,2.64,2.87,3.38,4.23,2.13,3.11,3.69,4.64,,,,,,,,,,,,,,,,
18-Dec-2013,2.63,2.85,3.37,4.23,2.14,3.09,3.69,4.65,,,,,,,,,,,,,,,,
19-Dec-2013,2.67,2.90,3.41,4.27,2.17,3.15,3.73,4.68,,,,,,,,,,,,,,,,
20-Dec-2013,2.66,2.91,3.43,4.29,2.16,3.16,3.75,4.69,,,,,,,,,,,,,,,,
23-Dec-2013,2.67,2.92,3.43,4.26,2.13,3.16,3.75,4.67,,,,,,,,,,,,,,,,
24-Dec-2013,2.66,2.91,3.41,4.24,2.11,3.15,3.73,4.65,,,,,,,,,,,,,,,,
27-Dec-2013,2.71,2.95,3.46,4.27,2.10,3.21,3.78,4.68,,,,,,,,,,,,,,,,
30-Dec-2013,2.70,2.95,3.46,4.27,2.10,3.19,3.78,4.67,,,,,,,,,,,,,,,,
31-Dec-2013,2.68,2.91,3.43,4.23,2.07,3.16,3.75,4.64,,,,,,,,,,,,,,,,
02-Jan-2014,2.74,2.97,3.49,4.33,2.16,3.22,3.81,4.73,,,,,,,,,,,,,,,,
03-Jan-2014,2.74,2.98,3.50,4.34,2.19,3.22,3.81,4.75,,,,,,,,,,,,,,,,
06-Jan-2014,2.76,2.99,3.52,4.38,2.22,3.24,3.85,4.78,,,,,,,,,,,,,,,,
07-Jan-2014,2.72,2.96,3.48,4.32,2.17,3.21,3.80,4.72,,,,,,,,,,,,,,,,
08-Jan-2014,2.71,2.95,3.47,4.30,2.16,3.20,3.80,4.71,,,,,,,,,,,,,,,,
09-Jan-2014,2.76,3.01,3.52,4.32,2.18,3.26,3.85,4.72,,,,,,,,,,,,,,,,
10-Jan-2014,2.73,2.98,3.50,4.27,2.15,3.24,3.82,4.67,,,,,,,,,,,,,,,,
13-Jan-2014,2.71,2.96,3.47,4.23,2.12,3.22,3.80,4.64,,,,,,,,,,,,,,,,
14-Jan-2014,2.69,2.93,3.44,4.19,2.10,3.20,3.79,4.62,,,,,,,,,,,,,,,,
15-Jan-2014,2.71,2.96,3.47,4.23,2.15,3.24,3.83,4.67,,,,,,,,,,,,,,,,
16-Jan-2014,2.63,2.88,3.40,4.18,2.11,3.16,3.76,4.62,,,,,,,,,,,,,,,,
17-Jan-2014,2.57,2.81,3.32,4.10,2.06,3.11,3.69,4.56,,,,,,,,,,,,,,,,
20-Jan-2014,2.57,2.81,3.32,4.08,2.04,3.09,3.69,4.53,,,,,,,,,,,,,,,,
21-Jan-2014,2.61,2.85,3.35,4.10,2.04,3.11,3.70,4.52,,,,,,,,,,,,,,,,
22-Jan-2014,2.72,2.98,3.46,4.18,2.08,3.23,3.80,4.60,,,,,,,,,,,,,,,,
23-Jan-2014,2.69,2.95,3.44,4.17,2.08,3.20,3.77,4.58,,,,,,,,,,,,,,,,
24-Jan-2014,2.56,2.81,3.29,4.05,1.97,3.08,3.65,4.46,,,,,,,,,,,,,,,,
28-Jan-2014,2.56,2.80,3.28,4.03,2.00,3.07,3.64,4.44,,,,,,,,,,,,,,,,
29-Jan-2014,2.64,2.89,3.37,4.11,2.12,3.15,3.72,4.51,,,,,,,,,,,,,,,,
30-Jan-2014,2.57,2.81,3.29,4.00,2.06,3.09,3.65,4.41,,,,,,,,,,,,,,,,
31-Jan-2014,2.58,2.83,3.29,4.00,2.07,3.11,3.65,4.41,,,,,,,,,,,,,,,,
03-Feb-2014,2.60,2.84,3.30,4.00,2.08,3.12,3.67,4.40,,,,,,,,,,,,,,,,
04-Feb-2014,2.64,2.88,3.32,3.99,2.12,3.16,3.69,4.40,,,,,,,,,,,,,,,,
05-Feb-2014,2.65,2.89,3.34,4.02,2.09,3.18,3.71,4.42,,,,,,,,,,,,,,,,
06-Feb-2014,2.70,2.95,3.40,4.08,2.11,3.23,3.76,4.48,,,,,,,,,,,,,,,,
07-Feb-2014,2.74,2.99,3.44,4.15,2.17,3.27,3.80,4.54,,,,,,,,,,,,,,,,
10-Feb-2014,2.73,2.98,3.44,4.14,2.17,3.26,3.79,4.53,,,,,,,,,,,,,,,,
11-Feb-2014,2.77,3.02,3.48,4.18,2.15,3.29,3.83,4.57,,,,,,,,,,,,,,,,
12-Feb-2014,2.78,3.04,3.50,4.22,2.17,3.31,3.84,4.60,,,,,,,,,,,,,,,,
13-Feb-2014,2.72,2.98,3.44,4.17,2.14,3.25,3.79,4.56,,,,,,,,,,,,,,,,
14-Feb-2014,2.70,2.95,3.40,4.10,2.08,3.21,3.75,4.48,,,,,,,,,,,,,,,,
17-Feb-2014,2.74,2.99,3.45,4.16,2.12,3.25,3.79,4.54,,,,,,,,,,,,,,,,
18-Feb-2014,2.75,3.01,3.47,4.18,2.14,3.27,3.81,4.55,,,,,,,,,,,,,,,,
19-Feb-2014,2.72,2.97,3.42,4.14,2.12,3.23,3.77,4.52,,,,,,,,,,,,,,,,
20-Feb-2014,2.71,2.97,3.42,4.14,2.13,3.22,3.76,4.52,,,,,,,,,,,,,,,,
21-Feb-2014,2.76,3.03,3.48,4.22,2.21,3.27,3.81,4.58,,,,,,,,,,,,,,,,
24-Feb-2014,2.72,2.98,3.43,4.17,2.17,3.22,3.76,4.53,,,,,,,,,,,,,,,,
25-Feb-2014,2.71,2.98,3.43,4.17,2.15,3.22,3.75,4.53,,,,,,,,,,,,,,,,
26-Feb-2014,2.69,2.95,3.40,4.13,2.10,3.19,3.73,4.48,,,,,,,,,,,,,,,,
27-Feb-2014,2.62,2.86,3.32,4.06,2.04,3.12,3.65,4.43,,,,,,,,,,,,,,,,
28-Feb-2014,2.60,2.84,3.29,4.02,2.01,3.09,3.63,4.39,,,,,,,,,,,,,,,,
03-Mar-2014,2.56,2.79,3.24,3.98,1.99,3.06,3.59,4.36,,,,,,,,,,,,,,,,
04-Mar-2014,2.62,2.84,3.29,4.01,2.03,3.10,3.63,4.38,,,,,,,,,,,,,,,,
05-Mar-2014,2.68,2.90,3.35,4.06,2.09,3.14,3.68,4.43,,,,,,,,,,,,,,,,
06-Mar-2014,2.73,2.94,3.39,4.10,2.12,3.17,3.70,4.45,,,,,,,,,,,,,,,,
07-Mar-2014,2.75,2.97,3.43,4.17,2.18,3.19,3.73,4.50,,,,,,,,,,,,,,,,
10-Mar-2014,2.76,2.99,3.46,4.21,2.20,3.21,3.75,4.54,,,,,,,,,,,,,,,,
11-Mar-2014,2.74,2.96,3.43,4.18,2.14,3.19,3.73,4.52,,,,,,,,,,,,,,,,
12-Mar-2014,2.73,2.95,3.43,4.17,2.14,3.17,3.72,4.51,,,,,,,,,,,,,,,,
13-Mar-2014,2.78,3.01,3.47,4.17,2.12,3.22,3.76,4.50,,,,,,,,,,,,,,,,
14-Mar-2014,2.69,2.90,3.35,4.04,2.04,3.12,3.65,4.39,,,,,,,,,,,,,,,,
17-Mar-2014,2.72,2.93,3.38,4.05,2.05,3.15,3.69,4.52,,,,,,,,,,,,,,,,
18-Mar-2014,2.76,2.97,3.42,4.08,2.09,3.19,3.73,4.55,,,,,,,,,,,,,,,,
19-Mar-2014,2.74,2.95,3.40,4.06,2.07,3.17,3.71,4.53,,,,,,,,,,,,,,,,
20-Mar-2014,2.78,3.00,3.45,4.13,2.14,3.21,3.74,4.58,,,,,,,,,,,,,,,,
21-Mar-2014,2.81,3.04,3.48,4.16,2.18,3.23,3.77,4.61,,,,,,,,,,,,,,,,
24-Mar-2014,2.81,3.05,3.49,4.17,2.18,3.23,3.77,4.61,,,,,,,,,,,,,,,,
25-Mar-2014,2.77,3.01,3.45,4.12,2.13,3.20,3.73,4.57,,,,,,,,,,,,,,,,
26-Mar-2014,2.79,3.03,3.46,4.11,2.12,3.21,3.73,4.55,,,,,,,,,,,,,,,,
27-Mar-2014,2.78,3.02,3.44,4.08,2.09,3.21,3.72,4.53,,,,,,,,,,,,,,,,
28-Mar-2014,2.76,3.00,3.42,4.07,2.07,3.19,3.70,4.50,,,,,,,,,,,,,,,,
31-Mar-2014,2.78,3.03,3.44,4.08,2.09,3.22,3.71,4.52,,,,,,,,,,,,,,,,
01-Apr-2014,2.81,3.06,3.47,4.13,2.17,3.23,3.73,4.56,,,,,,,,,,,,,,,,
02-Apr-2014,2.82,3.08,3.50,4.17,2.21,3.24,3.73,4.58,,,,,,,,,,,,,,,,
03-Apr-2014,2.83,3.09,3.51,4.18,2.24,3.25,3.73,4.57,,,,,,,,,,,,,,,,
04-Apr-2014,2.81,3.08,3.49,4.16,2.20,3.24,3.72,4.54,,,,,,,,,,,,,,,,
07-Apr-2014,2.77,3.02,3.44,4.08,2.12,3.20,3.67,4.48,,,,,,,,,,,,,,,,
08-Apr-2014,2.77,3.02,3.43,4.09,2.09,3.19,3.66,4.48,,,,,,,,,,,,,,,,
09-Apr-2014,2.77,3.01,3.42,4.07,2.08,3.19,3.65,4.46,,,,,,,,,,,,,,,,
10-Apr-2014,2.79,3.04,3.44,4.06,2.07,3.21,3.67,4.44,,,,,,,,,,,,,,,,
11-Apr-2014,2.77,3.01,3.39,4.02,2.04,3.18,3.62,4.40,,,,,,,,,,,,,,,,
14-Apr-2014,2.73,2.97,3.35,3.97,2.00,3.15,3.59,4.36,,,,,,,,,,,,,,,,
15-Apr-2014,2.76,3.00,3.37,3.99,2.02,3.17,3.61,4.38,,,,,,,,,,,,,,,,
16-Apr-2014,2.75,2.99,3.36,3.98,2.02,3.16,3.61,4.37,,,,,,,,,,,,,,,,
17-Apr-2014,2.74,2.97,3.34,3.96,2.00,3.14,3.58,4.35,,,,,,,,,,,,,,,,
22-Apr-2014,2.78,3.01,3.39,4.01,2.03,3.18,3.62,4.40,,,,,,,,,,,,,,,,
23-Apr-2014,2.73,2.95,3.34,3.97,2.01,3.13,3.58,4.37,,,,,,,,,,,,,,,,
24-Apr-2014,2.71,2.93,3.32,3.96,2.03,3.11,3.56,4.36,,,,,,,,,,,,,,,,
28-Apr-2014,2.70,2.92,3.30,3.93,1.99,3.09,3.55,4.33,,,,,,,,,,,,,,,,
29-Apr-2014,2.72,2.93,3.31,3.94,1.96,3.11,3.56,4.34,,,,,,,,,,,,,,,,
30-Apr-2014,2.73,2.95,3.33,3.95,1.98,3.13,3.58,4.34,,,,,,,,,,,,,,,,
01-May-2014,2.73,2.94,3.32,3.94,1.97,3.12,3.57,4.33,,,,,,,,,,,,,,,,
02-May-2014,2.72,2.93,3.30,3.91,1.91,3.11,3.55,4.30,,,,,,,,,,,,,,,,
05-May-2014,2.71,2.91,3.28,3.87,1.87,3.09,3.53,4.27,,,,,,,,,,,,,,,,
06-May-2014,2.70,2.89,3.26,3.87,1.84,3.05,3.49,4.24,,,,,,,,,,,,,,,,
07-May-2014,2.68,2.87,3.23,3.83,1.81,3.02,3.45,4.20,,,,,,,,,,,,,,,,
08-May-2014,2.71,2.89,3.25,3.84,1.83,3.04,3.46,4.20,,,,,,,,,,,,,,,,
09-May-2014,2.69,2.88,3.23,3.82,1.82,3.01,3.44,4.17,,,,,,,,,,,,,,,,
12-May-2014,2.70,2.89,3.25,3.83,1.85,3.01,3.45,4.17,,,,,,,,,,,,,,,,
13-May-2014,2.71,2.90,3.26,3.85,1.87,3.02,3.46,4.19,,,,,,,,,,,,,,,,
14-May-2014,2.69,2.88,3.23,3.81,1.83,3.01,3.44,4.15,,,,,,,,,,,,,,,,
15-May-2014,2.68,2.86,3.20,3.76,1.80,3.01,3.42,4.12,,,,,,,,,,,,,,,,
16-May-2014,2.67,2.85,3.18,3.72,1.75,3.00,3.40,4.08,,,,,,,,,,,,,,,,
19-May-2014,2.66,2.85,3.16,3.68,1.71,3.00,3.38,4.05,,,,,,,,,,,,,,,,
20-May-2014,2.67,2.86,3.17,3.71,1.73,3.01,3.40,4.09,,,,,,,,,,,,,,,,
21-May-2014,2.60,2.78,3.10,3.66,1.68,2.94,3.33,4.04,,,,,,,,,,,,,,,,
22-May-2014,2.65,2.83,3.17,3.75,1.76,2.99,3.39,4.12,,,,,,,,,,,,,,,,
23-May-2014,2.66,2.85,3.19,3.78,1.77,3.01,3.42,4.16,,,,,,,,,,,,,,,,
26-May-2014,2.64,2.83,3.17,3.74,1.73,2.99,3.39,4.12,,,,,,,,,,,,,,,,
27-May-2014,2.66,2.85,3.18,3.75,1.74,3.01,3.41,4.11,,,,,,,,,,,,,,,,
28-May-2014,2.66,2.84,3.16,3.71,1.70,3.00,3.39,4.08,,,,,,,,,,,,,,,,
29-May-2014,2.62,2.79,3.10,3.64,1.64,2.95,3.33,4.01,,,,,,,,,,,,,,,,
30-May-2014,2.62,2.80,3.11,3.66,1.66,2.94,3.33,4.02,,,,,,,,,,,,,,,,
02-Jun-2014,2.63,2.79,3.11,3.67,1.69,2.93,3.33,4.03,,,,,,,,,,,,,,,,
03-Jun-2014,2.64,2.81,3.13,3.72,1.75,2.94,3.33,4.06,,,,,,,,,,,,,,,,
04-Jun-2014,2.69,2.87,3.19,3.78,1.81,3.00,3.39,4.11,,,,,,,,,,,,,,,,
05-Jun-2014,2.68,2.86,3.18,3.78,1.83,2.98,3.37,4.10,,,,,,,,,,,,,,,,
06-Jun-2014,2.69,2.86,3.18,3.78,1.80,2.98,3.37,4.11,,,,,,,,,,,,,,,,
10-Jun-2014,2.70,2.87,3.19,3.79,1.79,2.99,3.38,4.11,,,,,,,,,,,,,,,,
11-Jun-2014,2.73,2.91,3.25,3.85,1.83,3.03,3.43,4.15,,,,,,,,,,,,,,,,
12-Jun-2014,2.70,2.88,3.21,3.82,1.80,3.00,3.39,4.14,,,,,,,,,,,,,,,,
13-Jun-2014,2.69,2.87,3.20,3.79,1.77,2.99,3.38,4.10,,,,,,,,,,,,,,,,
16-Jun-2014,2.67,2.85,3.17,3.75,1.73,2.96,3.36,4.06,,,,,,,,,,,,,,,,
17-Jun-2014,2.61,2.79,3.12,3.70,1.70,2.91,3.30,4.01,,,,,,,,,,,,,,,,
18-Jun-2014,2.63,2.81,3.14,3.74,1.75,2.95,3.33,4.06,,,,,,,,,,,,,,,,
19-Jun-2014,2.58,2.75,3.08,3.66,1.69,2.90,3.27,4.00,,,,,,,,,,,,,,,,
20-Jun-2014,2.59,2.76,3.09,3.68,1.69,2.91,3.28,4.01,,,,,,,,,,,,,,,,
23-Jun-2014,2.61,2.79,3.11,3.69,1.69,2.93,3.31,4.02,,,,,,,,,,,,,,,,
24-Jun-2014,2.56,2.74,3.06,3.64,1.60,2.89,3.25,3.97,,,,,,,,,,,,,,,,
25-Jun-2014,2.53,2.70,3.02,3.59,1.56,2.86,3.22,3.92,,,,,,,,,,,,,,,,
26-Jun-2014,2.53,2.70,3.02,3.59,1.57,2.86,3.22,3.93,,,,,,,,,,,,,,,,
27-Jun-2014,2.51,2.67,2.99,3.54,1.53,2.84,3.20,3.88,,,,,,,,,,,,,,,,
30-Jun-2014,2.54,2.69,2.99,3.54,1.54,2.84,3.20,3.88,,,,,,,,,,,,,,,,
01-Jul-2014,2.57,2.72,3.03,3.59,1.59,2.88,3.24,3.93,,,,,,,,,,,,,,,,
02-Jul-2014,2.55,2.69,3.00,3.56,1.57,2.85,3.22,3.90,,,,,,,,,,,,,,,,
03-Jul-2014,2.50,2.63,2.95,3.54,1.55,2.79,3.17,3.88,,,,,,,,,,,,,,,,
04-Jul-2014,2.54,2.66,2.99,3.59,1.59,2.83,3.20,3.93,,,,,,,,,,,,,,,,
07-Jul-2014,2.54,2.67,2.99,3.59,1.60,2.84,3.21,3.93,,,,,,,,,,,,,,,,
08-Jul-2014,2.56,2.69,3.00,3.57,1.57,2.85,3.22,3.91,,,,,,,,,,,,,,,,
09-Jul-2014,2.53,2.66,2.97,3.52,1.52,2.83,3.19,3.86,,,,,,,,,,,,,,,,
10-Jul-2014,2.49,2.61,2.92,3.47,1.48,2.79,3.15,3.82,,,,,,,,,,,,,,,,
11-Jul-2014,2.46,2.56,2.87,3.41,1.46,2.76,3.12,3.79,,,,,,,,,,,,,,,,
14-Jul-2014,2.49,2.60,2.90,3.44,1.49,2.80,3.15,3.82,,,,,,,,,,,,,,,,
15-Jul-2014,2.47,2.58,2.88,3.44,1.48,2.77,3.13,3.81,,,,,,,,,,,,,,,,
16-Jul-2014,2.47,2.57,2.87,3.43,1.47,2.76,3.12,3.80,,,,,,,,,,,,,,,,
17-Jul-2014,2.48,2.58,2.87,3.41,1.46,2.77,3.12,3.79,,,,,,,,,,,,,,,,
18-Jul-2014,2.47,2.55,2.85,3.38,1.44,2.75,3.12,3.77,,,,,,,,,,,,,,,,
21-Jul-2014,2.52,2.60,2.89,3.40,1.45,2.78,3.15,3.79,,,,,,,,,,,,,,,,
22-Jul-2014,2.53,2.60,2.89,3.37,1.44,2.80,3.16,3.77,,,,,,,,,,,,,,,,
23-Jul-2014,2.57,2.65,2.94,3.41,1.46,2.82,3.19,3.81,,,,,,,,,,,,,,,,
24-Jul-2014,2.58,2.67,2.96,3.43,1.48,2.86,3.22,3.82,,,,,,,,,,,,,,,,
25-Jul-2014,2.58,2.68,2.96,3.44,1.49,2.86,3.22,3.83,,,,,,,,,,,,,,,,
28-Jul-2014,2.57,2.67,2.95,3.43,1.48,2.85,3.22,3.82,,,,,,,,,,,,,,,,
29-Jul-2014,2.60,2.70,2.98,3.47,1.51,2.88,3.24,3.86,,,,,,,,,,,,,,,,
30-Jul-2014,2.57,2.67,2.95,3.42,1.47,2.86,3.21,3.82,,,,,,,,,,,,,,,,
31-Jul-2014,2.60,2.72,3.00,3.51,1.54,2.90,3.26,3.90,,,,,,,,,,,,,,,,
01-Aug-2014,2.62,2.74,3.02,3.52,1.54,2.92,3.28,3.91,,,,,,,,,,,,,,,,
04-Aug-2014,2.62,2.74,3.02,3.49,1.54,2.92,3.28,3.89,,,,,,,,,,,,,,,,
05-Aug-2014,2.60,2.72,3.00,3.47,1.50,2.91,3.26,3.87,,,,,,,,,,,,,,,,
06-Aug-2014,2.63,2.74,3.03,3.51,1.53,2.93,3.29,3.91,,,,,,,,,,,,,,,,
07-Aug-2014,2.54,2.64,2.92,3.42,1.45,2.84,3.18,3.83,,,,,,,,,,,,,,,,
08-Aug-2014,2.45,2.52,2.80,3.28,1.35,2.72,3.07,3.70,,,,,,,,,,,,,,,,
11-Aug-2014,2.53,2.62,2.89,3.41,1.46,2.84,3.18,3.83,,,,,,,,,,,,,,,,
12-Aug-2014,2.55,2.64,2.92,3.42,1.47,2.85,3.20,3.85,,,,,,,,,,,,,,,,
13-Aug-2014,2.57,2.66,2.94,3.45,1.51,2.87,3.22,3.88,,,,,,,,,,,,,,,,
14-Aug-2014,2.52,2.60,2.88,3.39,1.46,2.81,3.16,3.83,,,,,,,,,,,,,,,,
15-Aug-2014,2.53,2.62,2.90,3.39,1.46,2.82,3.18,3.83,,,,,,,,,,,,,,,,
18-Aug-2014,2.50,2.59,2.86,3.35,1.41,2.79,3.14,3.79,,,,,,,,,,,,,,,,
19-Aug-2014,2.53,2.62,2.89,3.41,1.46,2.82,3.17,3.85,,,,,,,,,,,,,,,,
20-Aug-2014,2.55,2.65,2.92,3.43,1.48,2.84,3.18,3.85,,,,,,,,,,,,,,,,
21-Aug-2014,2.59,2.70,2.97,3.48,1.52,2.89,3.22,3.88,,,,,,,,,,,,,,,,
22-Aug-2014,2.61,2.72,2.99,3.48,1.53,2.89,3.23,3.86,,,,,,,,,,,,,,,,
25-Aug-2014,2.60,2.71,2.97,3.44,1.50,2.89,3.22,3.82,,,,,,,,,,,,,,,,
26-Aug-2014,2.55,2.66,2.91,3.36,1.44,2.86,3.17,3.74,,,,,,,,,,,,,,,,
27-Aug-2014,2.54,2.64,2.89,3.33,1.40,2.83,3.14,3.71,,,,,,,,,,,,,,,,
28-Aug-2014,2.56,2.66,2.90,3.33,1.39,2.85,3.15,3.70,,,,,,,,,,,,,,,,
29-Aug-2014,2.55,2.65,2.88,3.30,1.35,2.83,3.13,3.67,,,,,,,,,,,,,,,,
01-Sep-2014,2.56,2.66,2.89,3.33,1.38,2.84,3.15,3.70,,,,,,,,,,,,,,,,
02-Sep-2014,2.59,2.69,2.92,3.35,1.41,2.87,3.17,3.72,,,,,,,,,,,,,,,,
03-Sep-2014,2.62,2.73,2.97,3.43,1.47,2.91,3.22,3.80,,,,,,,,,,,,,,,,
04-Sep-2014,2.61,2.72,2.96,3.43,1.47,2.91,3.22,3.80,,,,,,,,,,,,,,,,
05-Sep-2014,2.64,2.75,2.99,3.47,1.51,2.95,3.25,3.84,,,,,,,,,,,,,,,,
08-Sep-2014,2.63,2.74,2.98,3.45,1.52,2.95,3.25,3.83,,,,,,,,,,,,,,,,
09-Sep-2014,2.70,2.81,3.06,3.57,1.62,3.04,3.34,3.96,,,,,,,,,,,,,,,,
10-Sep-2014,2.70,2.82,3.07,3.57,1.64,3.04,3.35,3.96,,,,,,,,,,,,,,,,
11-Sep-2014,2.73,2.86,3.11,3.61,1.67,3.10,3.40,4.01,,,,,,,,,,,,,,,,
12-Sep-2014,2.72,2.86,3.11,3.61,1.66,3.09,3.41,4.02,,,,,,,,,,,,,,,,
15-Sep-2014,2.72,2.86,3.12,3.65,1.70,3.10,3.43,4.06,,,,,,,,,,,,,,,,
16-Sep-2014,2.70,2.84,3.09,3.62,1.66,3.03,3.39,4.02,,,,,,,,,,,,,,,,
17-Sep-2014,2.71,2.86,3.12,3.65,1.67,3.05,3.41,4.04,,,,,,,,,,,,,,,,
18-Sep-2014,2.76,2.92,3.18,3.71,1.73,3.10,3.46,4.10,,,,,,,,,,,,,,,,
19-Sep-2014,2.77,2.93,3.19,3.73,1.75,3.11,3.48,4.12,,,,,,,,,,,,,,,,
22-Sep-2014,2.71,2.87,3.13,3.65,1.69,3.05,3.41,4.04,,,,,,,,,,,,,,,,
23-Sep-2014,2.64,2.79,3.05,3.56,1.62,2.97,3.32,3.94,,,,,,,,,,,,,,,,
24-Sep-2014,2.69,2.84,3.09,3.61,1.67,3.02,3.38,3.99,,,,,,,,,,,,,,,,
25-Sep-2014,2.66,2.81,3.07,3.58,1.64,3.00,3.35,3.95,,,,,,,,,,,,,,,,
26-Sep-2014,2.63,2.76,3.00,3.49,1.55,2.95,3.29,3.87,,,,,,,,,,,,,,,,
29-Sep-2014,2.62,2.75,3.00,3.50,1.56,2.94,3.28,3.87,,,,,,,,,,,,,,,,
30-Sep-2014,2.61,2.73,2.97,3.48,1.56,2.89,3.25,3.85,,,,,,,,,,,,,,,,
01-Oct-2014,2.61,2.72,2.97,3.49,1.56,2.87,3.25,3.85,,,,,,,,,,,,,,,,
02-Oct-2014,2.59,2.67,2.92,3.42,1.51,2.83,3.22,3.79,,,,,,,,,,,,,,,,
03-Oct-2014,2.62,2.71,2.95,3.46,1.53,2.87,3.25,3.83,,,,,,,,,,,,,,,,
06-Oct-2014,2.60,2.69,2.93,3.43,1.53,2.85,3.23,3.80,,,,,,,,,,,,,,,,
07-Oct-2014,2.60,2.68,2.92,3.39,1.48,2.85,3.22,3.77,,,,,,,,,,,,,,,,
08-Oct-2014,2.58,2.66,2.90,3.37,1.45,2.84,3.20,3.74,,,,,,,,,,,,,,,,
09-Oct-2014,2.57,2.63,2.86,3.31,1.38,2.83,3.17,3.69,,,,,,,,,,,,,,,,
10-Oct-2014,2.54,2.60,2.84,3.33,1.42,2.80,3.15,3.72,,,,,,,,,,,,,,,,
13-Oct-2014,2.53,2.57,2.82,3.30,1.39,2.77,3.13,3.70,,,,,,,,,,,,,,,,
14-Oct-2014,2.52,2.57,2.82,3.31,1.40,2.77,3.14,3.71,,,,,,,,,,,,,,,,
15-Oct-2014,2.57,2.62,2.86,3.34,1.44,2.83,3.17,3.74,,,,,,,,,,,,,,,,
16-Oct-2014,2.49,2.52,2.75,3.19,1.34,2.73,3.09,3.61,,,,,,,,,,,,,,,,
17-Oct-2014,2.51,2.56,2.79,3.23,1.36,2.77,3.13,3.64,,,,,,,,,,,,,,,,
20-Oct-2014,2.53,2.60,2.84,3.31,1.43,2.82,3.18,3.72,,,,,,,,,,,,,,,,
21-Oct-2014,2.45,2.51,2.75,3.19,1.34,2.74,3.10,3.63,,,,,,,,,,,,,,,,
22-Oct-2014,2.48,2.57,2.80,3.27,1.40,2.77,3.14,3.69,,,,,,,,,,,,,,,,
23-Oct-2014,2.48,2.57,2.80,3.26,1.41,2.76,3.14,3.68,,,,,,,,,,,,,,,,
24-Oct-2014,2.49,2.58,2.81,3.28,1.45,2.80,3.15,3.70,,,,,,,,,,,,,,,,
27-Oct-2014,2.51,2.61,2.84,3.30,1.48,2.82,3.17,3.72,,,,,,,,,,,,,,,,
28-Oct-2014,2.47,2.55,2.78,3.24,1.43,2.75,3.10,3.65,,,,,,,,,,,,,,,,
29-Oct-2014,2.52,2.61,2.84,3.30,1.47,2.81,3.14,3.67,,,,,,,,,,,,,,,,
30-Oct-2014,2.52,2.63,2.86,3.34,1.50,2.84,3.16,3.71,,,,,,,,,,,,,,,,
31-Oct-2014,2.50,2.59,2.81,3.29,1.44,2.79,3.11,3.66,,,,,,,,,,,,,,,,
03-Nov-2014,2.48,2.54,2.77,3.27,1.43,2.70,3.07,3.66,,,,,,,,,,,,,,,,
04-Nov-2014,2.51,2.58,2.82,3.32,1.47,2.77,3.10,3.71,,,,,,,,,,,,,,,,
05-Nov-2014,2.50,2.55,2.78,3.29,1.41,2.73,3.08,3.68,,,,,,,,,,,,,,,,
06-Nov-2014,2.50,2.55,2.77,3.25,1.36,2.74,3.08,3.66,,,,,,,,,,,,,,,,
07-Nov-2014,2.54,2.62,2.85,3.36,1.46,2.83,3.14,3.76,,,,,,,,,,,,,,,,
